,A,B,eAA,eBB,eAB,rAA,rBB,rAB,fB,W,group,epsilon1,epsilon2,sigma
986,L,J,1.0,0.3,1.3,0.95,1.0,0.975,0.5,0.44962,3,-0.5384615384615384,2.0,0.05128205128205133
872,L,J,1.0,0.4,0.8,0.95,1.0,0.975,0.5,0.433071,3,-0.4285714285714286,1.142857142857143,0.05128205128205133
844,L,J,1.0,0.2,0.6,0.95,1.0,0.975,0.5,0.452037,3,-0.6666666666666667,1.0,0.05128205128205133
1003,L,J,1.0,0.8,3.25,0.95,1.0,0.975,0.5,0.496237,3,-0.11111111111111108,3.611111111111111,0.05128205128205133
955,L,J,1.0,0.6,0.9,0.95,1.0,0.975,0.5,0.416211,3,-0.25,1.125,0.05128205128205133
883,L,J,1.0,0.5,0.9,0.95,1.0,0.975,0.5,0.442127,3,-0.3333333333333333,1.2,0.05128205128205133
841,L,J,1.0,0.2,0.75,0.95,1.0,0.975,0.5,0.439893,3,-0.6666666666666667,1.25,0.05128205128205133
1010,L,J,1.0,0.6,3.0,0.95,1.0,0.975,0.5,0.486992,3,-0.25,3.75,0.05128205128205133
914,L,J,1.0,0.9,0.6,0.95,1.0,0.975,0.5,0.46464,3,-0.05263157894736841,0.631578947368421,0.05128205128205133
916,L,J,1.0,0.9,0.8,0.95,1.0,0.975,0.5,0.42915,3,-0.05263157894736841,0.8421052631578948,0.05128205128205133
849,L,J,1.0,0.25,0.75,0.95,1.0,0.975,0.5,0.440054,3,-0.6,1.2,0.05128205128205133
853,L,J,1.0,0.25,0.55,0.95,1.0,0.975,0.5,0.414952,3,-0.6,0.8800000000000001,0.05128205128205133
936,L,J,1.0,0.8,1.7,0.95,1.0,0.975,0.5,0.453101,3,-0.11111111111111108,1.8888888888888888,0.05128205128205133
945,L,J,1.0,0.7,1.4,0.95,1.0,0.975,0.5,0.458867,3,-0.17647058823529416,1.6470588235294117,0.05128205128205133
963,L,J,1.0,0.5,0.4,0.95,1.0,0.975,0.5,0.454419,3,-0.3333333333333333,0.5333333333333333,0.05128205128205133
905,L,J,1.0,1.0,1.4,0.95,1.0,0.975,0.5,0.441543,3,0.0,1.4,0.05128205128205133
840,L,J,1.0,0.2,0.8,0.95,1.0,0.975,0.5,0.455573,3,-0.6666666666666667,1.3333333333333335,0.05128205128205133
910,L,J,1.0,1.0,1.9,0.95,1.0,0.975,0.5,0.443456,3,0.0,1.9,0.05128205128205133
964,L,J,1.0,0.5,0.5,0.95,1.0,0.975,0.5,0.446388,3,-0.3333333333333333,0.6666666666666666,0.05128205128205133
1004,L,J,1.0,0.8,3.75,0.95,1.0,0.975,0.5,0.490396,3,-0.11111111111111108,4.166666666666667,0.05128205128205133
949,L,J,1.0,0.6,0.3,0.95,1.0,0.975,0.5,0.463661,3,-0.25,0.37499999999999994,0.05128205128205133
940,L,J,1.0,0.7,0.6,0.95,1.0,0.975,0.5,0.438849,3,-0.17647058823529416,0.7058823529411765,0.05128205128205133
1005,L,J,1.0,0.8,4.25,0.95,1.0,0.975,0.5,0.492529,3,-0.11111111111111108,4.722222222222222,0.05128205128205133
938,L,J,1.0,0.7,0.4,0.95,1.0,0.975,0.5,0.443328,3,-0.17647058823529416,0.4705882352941177,0.05128205128205133
864,L,J,1.0,0.35,0.85,0.95,1.0,0.975,0.5,0.435044,3,-0.48148148148148145,1.259259259259259,0.05128205128205133
935,L,J,1.0,0.8,1.6,0.95,1.0,0.975,0.5,0.451912,3,-0.11111111111111108,1.777777777777778,0.05128205128205133
852,L,J,1.0,0.25,0.6,0.95,1.0,0.975,0.5,0.44477,3,-0.6,0.96,0.05128205128205133
909,L,J,1.0,1.0,1.8,0.95,1.0,0.975,0.5,0.47068,3,0.0,1.8,0.05128205128205133
971,L,J,1.0,0.5,1.5,0.95,1.0,0.975,0.5,0.478628,3,-0.3333333333333333,2.0,0.05128205128205133
843,L,J,1.0,0.2,0.65,0.95,1.0,0.975,0.5,0.471163,3,-0.6666666666666667,1.0833333333333335,0.05128205128205133
863,L,J,1.0,0.35,0.9,0.95,1.0,0.975,0.5,0.43105,3,-0.48148148148148145,1.3333333333333333,0.05128205128205133
966,L,J,1.0,0.5,1.0,0.95,1.0,0.975,0.5,0.432623,3,-0.3333333333333333,1.3333333333333333,0.05128205128205133
948,L,J,1.0,0.7,1.7,0.95,1.0,0.975,0.5,0.469892,3,-0.17647058823529416,2.0,0.05128205128205133
851,L,J,1.0,0.25,0.65,0.95,1.0,0.975,0.5,0.458848,3,-0.6,1.04,0.05128205128205133
884,L,J,1.0,0.5,0.8,0.95,1.0,0.975,0.5,0.450492,3,-0.3333333333333333,1.0666666666666667,0.05128205128205133
866,L,J,1.0,0.35,0.75,0.95,1.0,0.975,0.5,0.435938,3,-0.48148148148148145,1.111111111111111,0.05128205128205133
994,L,J,1.0,1.0,2.5,0.95,1.0,0.975,0.5,0.476823,3,0.0,2.5,0.05128205128205133
